"Date","Tmax","Tmin","Sun","Rain","TmaxAvg","RainyDays"
08/21/86,31.1,21.7,359,0,29.12,5
08/22/86,26.7,18.3,122,1,29,4
08/23/86,29.4,16.7,645,1,28.22,4
08/24/86,29.4,18.3,501,1,28.22,4
08/25/86,27.8,15,754,0,28.54,4
08/26/86,30.6,16.1,725,0,28.88,3
08/27/86,32.8,21.1,240,1,28.78,3
08/28/86,23.3,11.1,25,1,30,3
08/29/86,21.1,9.4,763,0,28.78,3
08/30/86,21.1,10.6,49,0,27.12,2
08/31/86,25,14.4,359,0,25.78,2
06/06/87,30.6,13.9,870,0,30.46,3
06/07/87,32.2,15,855,0,30.36,2
06/08/87,32.8,18.3,827,0,30.24,2
06/09/87,32.2,19.4,631,0,30.02,1
06/10/87,26.7,13.9,697,0,31.12,0
06/11/87,26.7,12.8,628,0,30.9,0
06/12/87,33.3,18.9,404,0,30.12,0
06/13/87,25.6,20.6,0,1,30.34,0
06/14/87,29.4,20.6,362,0,28.9,1
06/15/87,31.1,21.1,384,0,28.34,1
06/16/87,30.6,21.1,213,1,29.22,1
06/17/87,30,20.6,387,1,30,2
06/18/87,28.3,20,19,1,29.34,3
06/19/87,27.2,18.9,131,1,29.88,3
06/20/87,32.2,21.7,512,1,29.44,4
06/21/87,33.3,21.7,385,0,29.66,5
06/22/87,32.2,23.9,256,1,30.2,4
06/23/87,33.3,21.7,508,1,30.64,4
06/24/87,28.3,19.4,224,1,31.64,4
06/25/87,28.9,18.3,204,1,31.86,4
06/26/87,30,20,304,1,31.2,4
06/27/87,31.1,20.6,548,0,30.54,5
06/28/87,29.4,14.4,852,0,30.32,4
06/29/87,31.7,13.9,874,0,29.54,3
06/30/87,32.8,20.6,514,0,30.22,2
07/01/87,32.2,23.3,213,1,31,1
07/02/87,31.7,22.8,336,1,31.44,1
07/03/87,31.7,22.2,314,1,31.56,2
07/04/87,30.6,22.8,243,1,32.02,3
07/05/87,32.2,22.2,377,0,31.8,4
07/06/87,34.4,22.2,526,0,31.68,4
07/07/87,35,23.3,665,0,32.12,3
07/08/87,35.6,21.7,688,1,32.78,2
07/09/87,36.7,22.8,593,0,33.56,2
07/10/87,35,22.2,468,0,34.78,1
07/11/87,33.9,22.8,311,1,35.34,1
07/12/87,32.8,21.1,106,1,35.24,2
07/13/87,33.3,19.4,502,1,34.8,3
07/14/87,31.7,20.6,352,1,34.34,3
07/15/87,23.3,19.4,67,1,33.34,4
07/16/87,30.6,18.9,659,0,31,5
07/17/87,29.4,18.3,533,0,30.34,4
07/18/87,30.6,15.6,746,0,29.66,3
07/19/87,33.9,18.3,623,0,29.12,2
07/20/87,35,20,856,0,29.56,1
07/21/87,37.2,20.6,630,0,31.9,0
07/22/87,37.2,22.8,774,0,33.22,0
07/23/87,36.7,21.7,820,0,34.78,0
07/24/87,35.6,23.9,689,0,36,0
07/25/87,35,22.2,517,0,36.34,0
07/26/87,36.1,22.8,331,0,36.34,0
07/27/87,35,22.2,598,1,36.12,0
07/28/87,33.9,22.8,193,0,35.68,1
07/29/87,30.6,19.4,389,1,35.12,1
07/30/87,31.7,19.4,339,0,34.12,2
07/31/87,34.4,22.2,441,1,33.46,2
08/01/87,33.3,21.1,411,1,33.12,3
